@relation 212700L1_2final

@attribute 'status pozyczki' {splacona,splacona_cz,windykacja,odmowa,windykacja_sp}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute plec {K,M}
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
splacona_cz,13,866.46,1,200,73,K,191,48,0
odmowa,13,825.69,0,300,61,K,3,48,0
splacona,12,1030,1,296.54,34,M,1,23,22
splacona_cz,11,2100,0,400,60,M,183,48,0
splacona,13,1800,1,200,69,K,113,48,0
splacona,16,650.77,0,200,64,M,44,48,0
splacona_cz,16,1072.89,1,300,55,K,118,48,0
splacona_cz,13,2040,0,300,63,M,140,48,0
windykacja,11,1200,0,400,54,K,97,48,2107
splacona_cz,16,634.64,0,300,57,K,132,48,0
splacona_cz,12,1042,0,300,49,M,1,2,0
splacona_cz,11,3500,1,400,42,M,24,48,5
odmowa,12,1200,0,300,31,M,1,2,0
splacona_cz,11,1037.34,1,200,41,K,58,48,0
splacona,13,714,1,200,62,K,218,48,0
splacona_cz,13,1287.66,0,300,63,M,92,48,5
splacona_cz,98,2200,1,500,47,K,21,48,0
windykacja_sp,11,2300,0,200,37,M,101,48,148
splacona,11,1566.82,0,200,46,M,345,48,0
splacona,11,1071.61,0,200,52,K,399,48,182
splacona_cz,11,800.51,0,400,38,K,16,48,1
windykacja,12,1500,1,500,52,K,22,32,2107
splacona_cz,12,1400,0,300,28,M,5,23,7
odmowa,12,1134.4,0,200,23,K,7,15,0
splacona_cz,11,967.64,0,200,48,K,315,48,0
splacona_cz,13,1635,1,200,60,K,116,48,7
splacona_cz,11,2875.71,1,1100,42,M,274,48,4
splacona_cz,13,1000,0,300,70,K,60,48,0
splacona_cz,13,1400,1,400,59,K,242,48,0
splacona,13,2612,0,500,72,M,78,48,0
splacona_cz,13,930,0,400,59,K,28,48,1
splacona_cz,12,1100,1,300,65,M,18,35,2
splacona_cz,11,1900,1,694,38,K,204,48,1
splacona_cz,13,815,0,300,67,K,140,48,4
splacona_cz,13,1500,1,500,61,M,19,48,0
odmowa,12,1300,0,300,29,M,0,3,0
splacona_cz,11,2100,1,300,33,M,60,48,1
splacona,17,1100,0,200,56,K,23,33,0
splacona_cz,11,1493.98,0,200,47,K,357,48,0
splacona_cz,11,1400,0,421.62,33,K,97,48,1
splacona_cz,13,1272,0,500,62,M,12,48,5
splacona,11,1638,1,1239.88,52,K,310,48,14
splacona_cz,11,2500,0,600,49,K,229,48,0
splacona,13,840,1,200,64,K,109,48,0
splacona_cz,12,950,0,200,37,M,3,15,0
windykacja,11,2825,0,500,39,K,93,48,298
splacona_cz,13,2066,1,700,61,K,125,48,1
splacona_cz,13,1094,0,300,67,K,180,48,6
splacona_cz,11,1400,1,600,58,K,159,48,13
splacona_cz,13,1185.33,1,200,71,K,220,48,3
splacona_cz,13,1658,1,300,59,K,25,48,0
splacona_cz,13,1900,1,500,62,K,84,48,0
odmowa,13,770,0,200,74,M,108,48,0
splacona_cz,12,1952.35,0,200,44,M,0,11,0
splacona_cz,12,1030,1,200,54,M,5,24,7
splacona_cz,11,2065.98,1,300,52,K,175,48,5
splacona,12,1884.29,0,300,39,M,16,23,14
splacona_cz,11,3200,1,600,51,K,50,48,0
splacona_cz,11,2031,0,1000,56,M,110,48,0
splacona,11,3000,0,400,26,M,37,48,11
splacona_cz,12,670,1,300,45,M,5,11,2
windykacja,13,1721,1,350,71,K,193,48,2104
windykacja,13,1029.7,0,200,60,K,5,48,2104
splacona_cz,98,1200,1,285.97,38,K,42,48,2
splacona_cz,11,1770,1,280.11,39,K,83,48,2
splacona,99,2500,0,400,55,M,1,3,83
splacona_cz,11,1250,1,500,61,M,61,48,0
splacona_cz,16,749.28,1,200,53,K,61,48,0
splacona_cz,16,980,1,400,68,K,127,48,0
odmowa,13,1100,0,300,70,M,62,48,0
odmowa,11,10000,0,1000,25,M,5,48,0
splacona,13,1977,0,400,61,K,51,48,0
splacona_cz,13,975,1,277.4,61,K,23,48,0
splacona_cz,11,3335,1,600,56,M,429,48,0
splacona_cz,98,980,0,300,56,K,6,48,0
odmowa,13,1742.76,0,200,63,M,38,48,0
splacona_cz,13,860,1,789.27,63,K,76,48,2
odmowa,16,1700,0,500,48,M,242,48,0
splacona,16,1401,0,300,69,K,72,48,15
splacona_cz,99,1100,0,200,53,K,48,48,0
splacona,11,1500,1,377.92,27,K,21,48,17
splacona_cz,11,3100,1,500,32,K,118,48,0
splacona_cz,11,2700,1,400,37,K,118,48,0
windykacja,13,750,0,200,61,K,62,48,2102
splacona_cz,13,784,0,200,60,K,36,48,0
splacona_cz,13,2110,1,300,66,M,98,48,0
splacona_cz,99,685,1,250,62,M,1,2,1
splacona_cz,13,1300,0,300,66,M,74,48,7
splacona_cz,13,1026,1,200,74,K,244,48,0
splacona,13,907,0,200,60,M,5,48,165
splacona_cz,12,1032.34,1,200,31,K,1,11,0
splacona_cz,11,2353,1,1569.98,48,M,96,48,8
odmowa,16,540,0,200,40,K,180,48,0
splacona,13,3251,0,600,63,K,134,48,0
splacona_cz,13,1525.46,1,521.49,62,K,33,48,4
windykacja_sp,11,1136.8,1,200,26,M,6,48,191
splacona_cz,13,3700,1,800,62,K,23,48,0
splacona_cz,13,1538,1,200,63,M,97,48,0
splacona_cz,13,957.2,0,200,74,M,194,48,0
splacona,11,1459,1,300,26,M,5,48,9
splacona_cz,11,3000,1,500,45,K,90,48,4
splacona,13,2100,1,300,72,K,157,48,0
splacona_cz,11,1400,1,200,54,K,113,48,1
splacona_cz,13,2120,1,600,68,K,115,48,3
splacona_cz,12,1027,1,300,39,K,5,48,0
splacona_cz,13,1801.41,1,700,58,K,34,48,0
windykacja,12,1017,1,300,36,M,54,48,2100
splacona_cz,12,1030,1,200,51,M,6,48,3
splacona_cz,13,1193.65,0,400,63,M,6,48,0
splacona,12,2000,2,200,50,K,31,48,0
splacona,11,2000,0,800,46,M,48,48,0
splacona_cz,13,803.86,1,200,68,K,154,48,0
splacona_cz,13,1412,1,400,73,K,200,48,0
splacona_cz,98,5000,0,600,41,K,81,48,2
splacona_cz,11,1000,1,275.97,41,K,58,48,5
splacona_cz,16,1045,0,200,50,M,196,48,1
splacona,17,1896,1,500,22,M,31,33,0
splacona_cz,11,1200,1,300,38,K,187,48,2
splacona,12,1500,0,900,35,M,30,35,0
splacona,13,1425,1,200,60,K,76,48,1
splacona_cz,16,2300,1,200,55,K,59,48,0
splacona_cz,11,2800,1,400,54,K,56,48,0
splacona_cz,12,1600,1,498.47,31,K,11,11,5
windykacja_sp,13,1674.77,0,200,67,M,66,48,214
odmowa,13,995,0,300,52,M,168,48,0
splacona,11,2011,0,500,52,M,208,48,42
splacona_cz,12,1574.45,0,450,47,M,28,35,5
odmowa,16,634.64,0,200,51,K,18,48,0
splacona_cz,11,1261.98,1,400,40,M,33,48,6
splacona_cz,13,1149.06,0,400,60,K,158,48,0
splacona_cz,16,1313.41,1,400,62,M,24,48,1
splacona,13,1200.29,1,200,62,K,19,48,0
splacona_cz,11,1300,1,326.61,39,M,42,48,0
splacona,13,985.9,0,200,62,K,87,48,0
splacona_cz,12,660,1,400,40,K,8,37,2
